Id,PageType,PageId,UserId,SessionId,TimeSpent,FirstPing,LastPing,ActiveTimeOnPage,IPAdress,ScrollDistance,CountryCode
998,feed,n/a,tbd,3d9e4947-af8e-45a1-97c6-cdce2216c914,30,2020-06-15 10:39:28.5327097,2020-06-15 10:39:59.1462490,29.752,103.28.86.49,0,NP
999,feed,n/a,tbd,063e15ec-c288-4848-9b31-c2889465254a,0,2020-06-15 10:45:42.8180164,2020-06-15 10:45:42.8180164,0,2.37.215.35,0,IT
1000,feed,n/a,tbd,24d798ca-04e3-4507-8e4d-2646c41bbb89,0,2020-06-15 10:45:50.8301202,2020-06-15 10:45:50.8301202,0,182.188.165.215,0,PK
1001,profile,792320af-5c64-479e-8769-f55208dd9b96,792320af-5c64-479e-8769-f55208dd9b96,27feb358-1c27-4451-9435-efd4e5f121d9,0,2020-06-15 10:45:54.3455458,2020-06-15 10:45:54.3455458,0,2.37.215.35,0,IT
1002,feed,n/a,e4b1a5b1-c699-41fd-8636-71c44aed1109,8c6f8fde-889a-40e3-a5be-c98ea2833155,0,2020-06-15 10:52:10.9968753,2020-06-15 10:52:10.9968753,0,190.234.57.116,0,PE
1003,feed,n/a,e4b1a5b1-c699-41fd-8636-71c44aed1109,8afde11f-14f8-49dd-9fb2-2efaa8741166,0,2020-06-15 10:52:18.2290209,2020-06-15 10:52:18.2290209,0,190.234.57.116,0,PE
1004,profile,e4b1a5b1-c699-41fd-8636-71c44aed1109,e4b1a5b1-c699-41fd-8636-71c44aed1109,cffada93-c8de-4666-a2c7-7b661d68353b,0,2020-06-15 10:52:49.6063235,2020-06-15 10:52:49.6063235,0,190.234.57.116,0,PE
1005,profile,e4b1a5b1-c699-41fd-8636-71c44aed1109,e4b1a5b1-c699-41fd-8636-71c44aed1109,12576469-4b39-46b2-b7e2-0d2a647894b3,31,2020-06-15 10:53:14.0896514,2020-06-15 10:53:45.8022193,20.084,190.234.57.116,71,PE
1006,feed,n/a,tbd,2a1e98ac-4f3a-4803-b850-efe94264ca44,12601,2020-06-15 10:53:45.1469594,2020-06-15 14:23:47.0771929,6.742,106.206.43.212,0,IN
1007,feed,n/a,tbd,c0dfdd73-081d-48fe-bb47-d010ae1e83b2,0,2020-06-15 10:55:36.4659089,2020-06-15 10:55:36.4659089,0,157.46.231.253,0,ID
1008,feed,n/a,tbd,9aa3d4c6-1176-46a8-a8ab-9de01b2ff60b,31,2020-06-15 10:55:40.6448775,2020-06-15 10:56:11.6687067,26.427,182.185.15.252,3061,PK
1009,feed,n/a,tbd,76b922c1-569e-4cf7-b351-daf9548f0679,0,2020-06-15 10:58:26.7209498,2020-06-15 10:58:26.7209498,0,37.29.137.122,0,ES
1010,feed,n/a,c0de6ef8-ba53-4313-b28b-7a2426550357,643b3f5c-4f73-40d6-884c-cd32b53383b8,0,2020-06-15 11:04:42.0528184,2020-06-15 11:04:42.0528184,0,79.148.22.165,0,ES
1011,feed,n/a,cea3d3bf-159d-4fa5-a9a9-7ae101a94723,06b5f353-a9d1-4cc6-954c-dfbd41f29327,30,2020-06-15 11:04:47.3227750,2020-06-15 11:05:17.8422211,3.798,46.189.180.214,0,PT
